"","node.degree","betweenness.centrality","closeness.centrality","node.transitivity"
"OTU_13824",12,123.014921907445,0.000648929266709929,0.681818181818182
"OTU_102",10,2327.73838229077,0.000811688311688312,0.222222222222222
"OTU_2810",2,0,0.000668896321070234,1
"OTU_994",3,1.37916666666667,0.000671591672263264,0.666666666666667
"OTU_5117",1,0,0.000524658971668416,NA
"OTU_1634",3,1.93452380952381,0.000662690523525514,0.333333333333333
"OTU_78",2,236,0.000575705238917674,0
"OTU_912",1,0,1,NA
"OTU_218",2,0,0.000690131124913734,1
"OTU_79",5,147.077383439288,0.000720980533525595,0.4
"OTU_5888",1,0,1,NA
"OTU_151",3,80.3709252714785,0.000603864734299517,0.666666666666667
"OTU_3436",3,3.06666666666667,0.000663129973474801,0.333333333333333
"OTU_441",3,1853.39682270897,0.000650618087182824,0.333333333333333
"OTU_442",3,0,0.000727802037845706,1
"OTU_2263",1,0,0.000600240096038415,NA
"OTU_5517",1,0,1,NA
"OTU_17",1,0,1,NA
"OTU_109",11,2495.33333333333,0.000380662352493338,0.218181818181818
"OTU_1641",1,0,0.000689655172413793,NA
"OTU_4731",6,927.997659026347,0.000601322910402886,0.933333333333333
"OTU_504",4,657.157873634404,0.000736919675755343,0.166666666666667
"OTU_4914",1,0,1,NA
"OTU_8509",1,0,1,NA
"OTU_5072",1,0,1,NA
"OTU_926",4,581.776653582183,0.0007627765064836,0
"OTU_7407",2,4,0.0909090909090909,0
"OTU_136",1,0,0.000637755102040816,NA
"OTU_6",3,0,0.000727272727272727,1
"OTU_220",7,473.333333333333,0.000350385423966363,0.285714285714286
"OTU_145",5,0,0.000644329896907216,1
"OTU_2835",1,0,1,NA
"OTU_632",11,922.535378007772,0.000611246943765281,0.290909090909091
"OTU_1313",1,0,0.000698324022346369,NA
"OTU_5654",2,0,0.000563063063063063,1
"OTU_1034",3,0.5,0.000669344042838019,0.666666666666667
"OTU_1071",1,0,0.00062111801242236,NA
"OTU_49",1,0,1,NA
"OTU_101",2,74.1572871572872,0.000689655172413793,0
"OTU_18",2,0,0.000668002672010688,1
"OTU_9915",2,0,0.5,1
"OTU_72",6,6651.04235726552,0.000829187396351575,0.333333333333333
"OTU_390",7,957.775436804125,0.000601684717208183,0.714285714285714
"OTU_3652",1,0,1,NA
"OTU_11616",1,0,1,NA
"OTU_7018",1,0,1,NA
"OTU_1601",2,0,0.000690131124913734,1
"OTU_983",1,0,0.000646412411118293,NA
"OTU_2725",8,385.589840048689,0.00072992700729927,0.285714285714286
"OTU_247",8,6.33333333333333,0.000647249190938511,0.714285714285714
"OTU_238",1,0,0.000500751126690035,NA
"OTU_10312",4,12,0.125,0
"OTU_139",1,0,1,NA
"OTU_656",4,236,0.000598802395209581,0.5
"OTU_13825",1,0,0.0217391304347826,NA
"OTU_12050",1,0,0.0166666666666667,NA
"OTU_254",4,267.058508062818,0.000727802037845706,0.333333333333333
"OTU_13016",3,9,0.111111111111111,0
"OTU_40",2,60.0166666666667,0.000662251655629139,0
"OTU_673",3,6638.15909608226,0.000790513833992095,0
"OTU_14006",1,0,1,NA
"OTU_827",2,0,0.000726744186046512,1
"OTU_5277",2,0,0.000751314800901578,1
"OTU_67",4,2.33333333333333,0.000584453535943892,0.666666666666667
"OTU_1235",2,0,0.000640204865556978,1
"OTU_83",13,2894.91375787352,0.000800640512409928,0.192307692307692
"OTU_127",24,1884.21217930903,0.000753579502637528,0.365942028985507
"OTU_226",7,46.4506175736143,0.000674763832658569,0.666666666666667
"OTU_1816",1,0,0.000323624595469256,NA
"OTU_1217",3,0,0.000349772647778944,1
"OTU_130",1,0,0.0005824111822947,NA
"OTU_2251",2,0,0.00076103500761035,1
"OTU_578",4,631.142857142857,0.000651890482398957,0.333333333333333
"OTU_5872",1,0,0.000523834468308015,NA
"OTU_380",1,0,1,NA
"OTU_7991",1,0,0.000349283967865875,NA
"OTU_82",15,7098.46691306022,0.000763941940412529,0.247619047619048
"OTU_496",2,0,0.000619195046439629,1
"OTU_14163",2,0,0.02,1
"OTU_781",1,0,0.000613120784794605,NA
"OTU_341",1,0,1,NA
"OTU_640",1,0,0.000681198910081744,NA
"OTU_3052",2,0,0.000583771161704612,1
"OTU_148",1,0,0.000673400673400673,NA
"OTU_10094",2,6,0.111111111111111,0
"OTU_2109",3,2.2,0.000649350649350649,0.333333333333333
"OTU_13463",3,3.27777777777777,0.000591715976331361,0.666666666666667
"OTU_4943",1,0,0.333333333333333,NA
"OTU_6589",1,0,0.0714285714285714,NA
"OTU_194",1,0,0.000594530321046373,NA
"OTU_543",8,365.254329057534,0.000733675715333822,0.392857142857143
"OTU_747",1,0,1,NA
"OTU_165",3,236,0.000575373993095512,0.333333333333333
"OTU_357",17,7250.49986688719,0.000675219446320054,0.205882352941176
"OTU_1804",1,0,1,NA
"OTU_1819",4,0.666666666666667,0.000350017500875044,0.833333333333333
"OTU_7417",2,0,0.000445037828215398,1
"OTU_2065",1,0,0.00053248136315229,NA
"OTU_13790",2,0,0.5,1
"OTU_2654",1,0,0.333333333333333,NA
"OTU_1775",9,4482.88275033461,0.000823723228995058,0.194444444444444
"OTU_11642",1,0,1,NA
"OTU_349",1,0,0.000506842372022301,NA
"OTU_135",1,0,0.00062111801242236,NA
"OTU_8836",1,0,1,NA
"OTU_158",2,1,0.000583090379008746,0
"OTU_5894",1,0,1,NA
"OTU_13",8,1038.73307915584,0.000766871165644172,0.321428571428571
"OTU_6866",3,0.5,0.333333333333333,0.666666666666667
"OTU_2123",1,0,0.000592417061611374,NA
"OTU_189",17,402.817019230624,0.000689179875947622,0.558823529411765
"OTU_2190",5,2819.97730011734,0.000829875518672199,0.6
"OTU_71",22,766.744010830534,0.000691562932226833,0.385281385281385
"OTU_252",1,0,1,NA
